No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,82.54062286105408,110.21003308236367,17.459250958247775,59.074105636835505,1264.6924053159937,55.328625909765,13.581414016976668,1011.8516500779526,3.120295744923568,0.06738250057038557,1.7085771731690622,Aotizhongxin
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,70.98643765685604,94.78857517681953,14.943065879534563,44.20615332249601,1156.9902464065708,57.97625291467032,13.671604601019816,1007.7711508479732,1.4869239105635415,0.06029260780287475,1.8548710928587726,Changping
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,66.84555669632671,84.11371349532284,11.797848596851471,27.3035892325462,925.1118383527264,70.53079199463838,13.671604600959608,1007.7711508479732,1.4869239105635415,0.06029260780287475,1.8548710928587726,Dingling
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,82.89752167465207,109.37234913301391,17.609312194843717,58.139297945185945,1258.3270448323067,54.817142160050196,13.581414016976662,1011.8516500779623,3.120295744923568,0.06738250057038557,1.7085771731690622,Guanyuan
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,84.07480179101073,119.26156741957564,15.705820887519966,55.822314790098105,1338.100059890486,58.000000866986085,13.855824022278949,1008.8356926040858,2.6003507871321023,0.06437371663244354,1.3436672940908054,Gucheng
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,69.50174680584075,92.42266997490303,12.446680880675338,32.077275212468635,1019.6718714350901,60.87217293805612,12.4305563443626,1007.6123149642016,2.2187614077116127,0.06795003422313484,1.6527720739219711,Huairou
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,85.07947182295231,109.38402207392197,18.760102292950034,58.095053292550766,1327.7676106548026,58.432876425963954,13.668249517775209,1012.5518711023653,2.4451260552133243,0.06398300250969656,1.8608145106091718,Nongzhanguan
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,79.43796201232034,99.27193560346794,13.44597109285877,44.094695043349304,1197.904660050194,54.21881049509468,13.375530928252738,1013.0719368277804,2.45082135523614,0.06100986767054529,1.807784337211955,Shunyi
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,82.03309662331736,106.53707648870636,14.510017738991559,53.25882833532968,1305.3332620351357,56.14807717887292,13.668249517775203,1012.5518711023749,2.4451260552133243,0.06398300250969656,1.8608145106091718,Tiantan
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,83.46761208076659,110.70785848733743,18.40951370066165,65.6684183307666,1328.7611795573807,46.90937508555783,13.425794768364606,1011.1026777226407,3.2637519963495323,0.06822381930184805,1.5013931667807436,Wanliu
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,85.06754791238878,112.50579511749943,17.363353639060005,55.49540229152407,1373.618568902578,55.919979015514485,13.781807583027312,1011.5162048920164,2.705549851699749,0.06428530686744238,1.7454497490303447,Wanshouxigong
